0	0	1	76.933	25	165
1	1	2	62.824	24	127
2	2	3	95.927	39	168
3	4	5	102.067	55	157
4	0	6	105.517	51	184
5	1	7	38.733	19	86
6	2	10	70.35	26	112
7	3	11	87.444	36	173
8	4	12	64.308	25	151
9	5	13	99.662	63	157
10	6	7	75.455	26	179
11	7	8	56.309	30	90
12	8	9	69.585	32	119
13	9	10	67.446	30	98
14	11	12	70	34	104
15	12	13	53.633	27	101
16	7	15	45.855	22	97
17	8	16	37.827	22	56
18	9	17	53.018	26	84
19	10	18	49.815	24	85
20	11	19	64.44	33	91
21	13	27	76.114	37	117
22	14	15	74.2	23	174
23	15	16	44.509	29	61
24	16	17	44.58	24	65
25	18	19	56.333	30	81
26	19	20	22.883	6	47
27	14	28	62.717	34	156
28	16	22	53.34	25	101
29	17	23	39.925	16	66
30	18	24	58.42	33	102
31	19	25	57.435	35	84
32	20	26	17.228	7	48
33	21	22	97.836	51	172
34	22	23	72.909	51	100
35	23	24	85.727	52	133
36	25	26	21.029	12	49
37	26	27	30.356	15	58
38	21	29	121.218	81	182
39	22	30	51.636	24	95
40	23	31	48.291	29	71
41	24	32	59.833	30	109
42	25	33	57.661	28	107
43	27	41	92.898	44	161
44	28	29	83.6	44	132
45	29	30	62.6	27	120
46	31	32	59.9	31	95
47	32	33	90.273	42	123
48	33	34	95.25	53	170
49	28	43	56.688	33	103
50	29	35	122.782	77	164
51	31	37	74.52	33	123
52	34	40	89.689	49	154
53	35	36	115.756	77	161
54	36	37	105.392	63	146
55	37	38	90.155	56	128
56	38	39	84.138	52	116
57	39	40	87.235	49	114
58	40	41	146.817	84	189
59	35	44	137.018	66	187
60	36	45	72.587	33	121
61	38	47	44.964	23	75
62	39	48	54.902	26	113
63	40	49	82.696	48	118
64	42	43	136.469	65	195
65	43	44	131.733	83	198
66	45	46	42.964	21	78
67	46	47	31.2	15	38
68	47	48	63.655	40	79
69	48	49	46.922	23	75
70	49	50	84.123	43	174
71	45	52	53.255	31	77
72	46	53	13.92	7	26
73	47	54	36.766	14	105
74	48	55	83.93	36	168
75	49	56	55.964	26	99
76	50	57	105.283	54	165
77	51	52	57.104	28	131
78	52	53	31.686	16	59
79	53	54	36.717	10	104
80	55	56	100.35	51	175
81	56	57	94.032	48	174
