0	0	1	29.371	6	44
1	1	2	37.449	12	50
2	2	3	19.203	6	25
3	4	5	51.112	25	64
4	0	6	19.897	0	31
5	1	7	6.628	0	19
6	2	10	21.836	6	25
7	3	11	19.876	6	29
8	4	12	44.175	25	62
9	5	13	56.451	37	74
10	6	7	24.352	12	25
11	7	8	7.616	0	25
12	8	9	2.915	0	25
13	9	10	21.38	6	31
14	11	12	46.134	25	62
15	12	13	27.127	15	48
16	7	15	27.231	6	50
17	8	16	3.612	0	12
18	9	17	19.91	0	25
19	10	18	6.186	4	19
20	11	19	39.098	12	62
21	13	27	75.053	12	87
22	14	15	43.872	19	50
23	15	16	43.101	12	50
24	16	17	57.117	25	69
25	18	19	32.372	6	56
26	19	20	6.497	5	12
27	14	28	58.11	16	69
28	16	22	16.955	0	56
29	17	23	26.6	6	37
30	18	24	63.877	12	81
31	19	25	25.188	12	44
32	20	26	4.487	0	12
33	21	22	9.416	6	25
34	22	23	14.222	0	25
35	23	24	53.448	16	69
36	25	26	4.103	0	25
37	26	27	11.979	0	44
38	21	29	20.964	6	25
39	22	30	0	0	0
40	23	31	55.949	31	69
41	24	32	43.801	19	62
42	25	33	26.946	12	63
43	27	41	75.618	28	87
44	28	29	8.583	0	62
45	29	30	0.283	0	6
46	31	32	36.679	6	62
47	32	33	51.951	25	69
48	33	34	75.156	50	87
49	28	43	52.548	19	62
50	29	35	31.04	6	83
51	31	37	59.755	25	125
52	34	40	79.144	44	106
53	35	36	177.094	106	212
54	36	37	169.999	78	212
55	37	38	114.167	75	125
56	38	39	75.042	44	106
57	39	40	81.719	47	106
58	40	41	65.076	45	75
59	35	44	162.898	71	194
60	36	45	91.942	69	181
61	38	47	79.873	20	112
62	39	48	73.565	44	94
63	40	49	67.59	56	100
64	42	43	185.601	106	219
65	43	44	161.524	75	194
66	45	46	55.675	31	87
67	46	47	48.221	19	62
68	47	48	107.12	69	175
69	48	49	59.464	44	75
70	49	50	58.205	25	69
71	45	52	113.222	62	189
72	46	53	1.327	0	32
73	47	54	146.128	45	181
74	48	55	54.931	25	62
75	49	56	58.416	25	81
76	50	57	61.669	50	62
77	51	52	210.557	98	237
78	52	53	140.764	75	175
79	53	54	131.079	56	150
80	55	56	56.934	19	69
81	56	57	63.042	53	69
