0	0	1	15.703	3	19
1	1	2	1.793	0	19
2	2	3	13.016	0	25
3	4	5	62.471	19	75
4	0	6	17.245	6	19
5	1	7	0	0	0
6	2	10	14.107	0	19
7	3	11	14.244	0	25
8	4	12	71.613	37	81
9	5	13	65.678	24	81
10	6	7	19.142	15	25
11	7	8	35.811	16	50
12	8	9	12.291	0	19
13	9	10	13.633	6	19
14	11	12	55.078	16	75
15	12	13	26.572	0	81
16	7	15	14.848	4	29
17	8	16	16.224	2	31
18	9	17	17.664	6	19
19	10	18	0	0	0
20	11	19	39.698	13	56
21	13	27	72.956	58	81
22	14	15	35.413	0	75
23	15	16	32.016	6	50
24	16	17	12.599	0	31
25	18	19	0	0	0
26	19	20	0	0	0
27	14	28	58.933	6	81
28	16	22	59.297	24	94
29	17	23	17.663	6	30
30	18	24	0	0	0
31	19	25	42.862	25	50
32	20	26	0	0	0
33	21	22	60.783	19	89
34	22	23	48.252	19	87
35	23	24	10.357	0	19
36	25	26	6.876	0	50
37	26	27	1.012	0	25
38	21	29	72.871	62	81
39	22	30	39.664	12	56
40	23	31	39.246	19	50
41	24	32	43.822	1	131
42	25	33	48.831	17	87
43	27	41	72.217	36	106
44	28	29	62.782	6	106
45	29	30	41.647	6	69
46	31	32	106.618	25	131
47	32	33	110.849	69	131
48	33	34	85.635	37	112
49	28	43	16.097	3	25
50	29	35	108.301	84	137
51	31	37	78.212	19	100
52	34	40	98.458	69	144
53	35	36	167.131	86	215
54	36	37	138.395	75	175
55	37	38	122.694	87	150
56	38	39	90.81	45	112
57	39	40	132.986	100	162
58	40	41	109.59	23	137
59	35	44	204.706	102	231
60	36	45	95.24	75	106
61	38	47	61.11	37	125
62	39	48	91.866	19	144
63	40	49	76.815	56	100
64	42	43	177.374	88	231
65	43	44	171.046	22	219
66	45	46	48.469	6	81
67	46	47	39.608	6	100
68	47	48	76.259	19	176
69	48	49	53.337	2	85
70	49	50	26.665	0	71
71	45	52	66.056	21	128
72	46	53	16.108	0	97
73	47	54	155.565	81	187
74	48	55	72.593	42	94
75	49	56	64.753	27	100
76	50	57	15.096	0	19
77	51	52	191.241	81	231
78	52	53	169.423	87	225
79	53	54	138.746	75	187
80	55	56	66.071	25	87
81	56	57	4.117	0	19
