0	0	1	89.863	69	112
1	1	2	103.878	44	150
2	2	3	149.218	106	175
3	4	5	199.172	125	212
4	0	6	103.981	69	125
5	1	7	34.242	6	107
6	2	10	105.013	79	137
7	3	11	156.988	87	175
8	4	12	188.142	144	206
9	5	13	191.052	144	206
10	6	7	107.544	64	125
11	7	8	112.455	70	131
12	8	9	106.474	62	119
13	9	10	145.167	77	187
14	11	12	88.621	25	164
15	12	13	192.197	137	212
16	7	15	6.412	0	44
17	8	16	30.338	12	69
18	9	17	70.407	32	99
19	10	18	141.235	76	184
20	11	19	124.375	78	162
21	13	27	188.269	106	212
22	14	15	16.759	6	24
23	15	16	18.461	6	62
24	16	17	20.313	6	69
25	18	19	27.407	0	105
26	19	20	4.269	0	12
27	14	28	20.547	6	31
28	16	22	29.492	2	86
29	17	23	77.343	59	125
30	18	24	145.559	93	175
31	19	25	122.602	75	144
32	20	26	3.683	0	12
33	21	22	167.601	125	206
34	22	23	172.933	126	200
35	23	24	186.433	119	206
36	25	26	22.542	6	87
37	26	27	18.329	0	103
38	21	29	184.858	94	206
39	22	30	25.457	0	112
40	23	31	107.494	75	189
41	24	32	160.295	62	188
42	25	33	121.479	65	194
43	27	41	182.992	103	212
44	28	29	36.965	5	169
45	29	30	24.359	0	62
46	31	32	140.812	100	162
47	32	33	162.19	87	200
48	33	34	165.753	69	181
49	28	43	45.135	8	144
50	29	35	191.347	131	229
51	31	37	138.086	86	225
52	34	40	159.198	81	194
53	35	36	229.536	200	244
54	36	37	227.611	169	244
55	37	38	229.809	150	244
56	38	39	218.935	150	244
57	39	40	206.986	125	225
58	40	41	183.512	106	212
59	35	44	220.132	87	237
60	36	45	116.501	62	169
61	38	47	174.894	106	225
62	39	48	109.322	69	187
63	40	49	145.965	94	175
64	42	43	208.2	150	225
65	43	44	195.03	87	231
66	45	46	119.377	75	137
67	46	47	134.291	24	187
68	47	48	139.139	106	159
69	48	49	131.246	81	156
70	49	50	113.024	37	137
71	45	52	54.833	19	106
72	46	53	18.437	6	81
73	47	54	177.166	81	225
74	48	55	80.854	31	106
75	49	56	135.311	101	162
76	50	57	119.626	71	144
77	51	52	204.687	100	250
78	52	53	222.776	151	237
79	53	54	215.75	137	237
80	55	56	93.645	55	106
81	56	57	119.101	62	150
